,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
2002,2016-05-23 12:00:00,2016_03076,816449.8543,-1188346.56354,-10.50906,76.74743,67.210595,33.54628,12.2915175,7.3985025,0.022875854985545747,0.049369740908764885,-0.06434383330720114,-0.07032840224002226,222.45556237838773,0.09532162947778042
2004,2016-05-23 12:00:00,2016_03107,684569.40817,-899246.95428,-7.71908,79.59464,47.19850875,26.59219,9.6817,6.71321,0.1236440133453357,,-0.06271866876738919,-0.12750336969385995,206.19248652966576,0.1420941261813542
2006,2016-05-27 12:00:00,2016_03151,751253.79003,-1666313.96208,-20.73188,73.24239,337.919871875,92.4731275,28.0227575,21.77961,,0.12085366931624186,8.175445727235138e-05,-0.0005740586201401207,171.89473533387508,0.0005798509210487435
2007,2016-05-28 12:00:00,2016_03151,751280.61483,-1666356.27463,-20.73166,73.24194,335.080128125,94.3663775,28.1498625,22.009995,,0.060549541692153167,-0.0004734317111215375,-0.0035446697521138064,187.60749241870076,0.003576146143077212
2008,2016-05-29 12:00:00,2016_03151,751369.20097,-1666652.28229,-20.73293,73.23917,342.532918125,94.623445,28.699085,22.28535,,0.07481771087983984,0.0003733564761408705,0.005924097063207687,3.6062027919240904,0.005935850492775427
2009,2016-05-30 12:00:00,2016_03151,751188.24653,-1666172.40909,-20.73193,73.2438,334.259588125,90.3848275,27.9720325,21.269025,,-0.02713927257045055,0.0003522144000324221,-0.0016824232509547094,168.1759243908595,0.0017188958604124952
2010,2016-05-31 12:00:00,2016_03151,751275.73317,-1666292.41776,-20.73097,73.24248,338.9214325,93.639485,28.08709,21.811415,,-0.014708923230998339,0.00037838873577070766,-0.0005695454071851515,146.40113957300468,0.0006837835960330245
2011,2016-06-01 12:00:00,2016_03151,751325.7626,-1666323.84025,-20.72995,73.24204,340.928424375,94.04541,28.15581,21.9454675,,-0.006049502642760358,8.047907096885608e-05,-0.00010683887582590141,143.01019332205317,0.00013375883616327018
2012,2016-06-02 12:00:00,2016_03151,751335.89568,-1666329.39718,-20.72973,73.24196,341.344936875,94.084025,28.1686175,21.9784775,,0.0015216805496121417,-0.0005568368728980604,4.832063400206699e-05,274.9595319938062,0.0005589295006431958
2013,2016-06-03 12:00:00,2016_03151,751290.3211,-1666345.36676,-20.73124,73.242,339.587963125,94.6317975,28.1340325,22.01053,,0.04238249725420268,-1.1243774700077933e-05,0.005076874696337342,359.87310701536603,0.005076887147138479
2014,2016-06-04 12:00:00,2016_03151,751109.14601,-1665945.88796,-20.73127,73.24596,316.7451925,96.3715125,28.7386975,21.4158525,,-0.016810888137009393,5.4148791877204824e-05,-0.0042521635918939555,179.27041152488835,0.004252508354358668
2015,2016-06-05 12:00:00,2016_03151,751264.41326,-1666278.88515,-20.73112,73.24264,335.940245625,95.3391275,28.2527575,21.912825,,0.008751832935898771,-0.00025870491255161794,-0.0008955800565500259,196.1123426705248,0.0009321973339741366
2016,2016-06-06 12:00:00,2016_03151,751275.84038,-1666358.61225,-20.73183,73.24194,339.1410825,94.4652375,28.1418225,21.996365,,0.038458492606121754,-0.00020818559558788776,6.406577345857502e-05,287.1049079671502,0.000217820259707698
2017,2016-06-07 12:00:00,2016_03151,751257.1676,-1666360.95901,-20.73238,73.24199,338.569350625,94.3904525,28.1189475,22.013415,,0.022997172966320197,0.0020564598545176767,0.0033150321483023364,31.813142066287526,0.0039010851410243366
2018,2016-06-08 12:00:00,2016_03151,751301.42747,-1666026.82386,-20.72682,73.24458,316.955610625,101.5446425,28.5540975,22.117595,,0.022268771662543697,0.0025834602355696745,-0.0013504744720489092,117.59780707851888,0.002915141178129371
2019,2016-06-09 12:00:00,2016_03151,751552.87177,-1666041.43047,-20.71981,73.24352,307.383326875,107.3200275,28.318075,22.2689775,,-0.08258984681589264,-0.0010565353454764358,-0.0022890468858573257,204.77621702442275,0.002521111378319913
2021,2016-05-27 12:00:00,2016_03154,874854.244,-1899688.73526,-20.27275,70.86583,203.3173075,53.241205,18.343845,14.34946,-0.1640187364027904,-0.144513902454024,0.034347258681123864,-0.1075885427654515,162.29450250144953,0.11293816322794269
2022,2016-05-28 12:00:00,2016_03154,881438.10841,-1906890.71475,-20.19181,70.78229,193.22516,51.69,17.771865,14.063765,-0.3508602286655499,-0.38226328271250887,-0.040168453217372314,-0.15194946704008735,194.807638485999,0.1571691609942702
2023,2016-05-29 12:00:00,2016_03154,883796.2785,-1920263.80562,-20.28584,70.66434,193.063890625,52.5157575,17.542525,14.2623125,-0.3085981699444804,-0.3848098308663843,-0.1348261001870524,-0.16159085666731188,219.8405102069578,0.21045113981664443
2024,2016-05-30 12:00:00,2016_03154,879051.4468,-1937816.79051,-20.59954,70.53869,206.215909375,53.96688,18.431965,14.47087,-0.1745098064748467,-0.15073510898280942,0.1126183215943431,-0.019622618587000592,99.88399030367066,0.11431506251993998
2026,2016-05-27 12:00:00,2016_03161,836222.40894,-1341658.8162,-13.06574,75.48111,91.831730625,35.725615,12.3429825,9.7465425,0.20430346869090033,0.09326839237201344,-0.0006599539069330404,-0.07404471769516792,180.5106586058888,0.07404765869165877
2027,2016-05-28 12:00:00,2016_03161,839557.93023,-1347118.21998,-13.0678,75.42296,85.930054375,35.3370675,11.8428175,9.558225,0.20430346869090033,0.09326839237201344,-0.004607958915023293,-0.008341918780217127,208.91564471220175,0.009529999700854237
2029,2016-05-27 12:00:00,2016_03179,847087.35948,-1733523.63,-18.95752,72.32484,40.9358975,26.72309,11.8082925,4.495805,,-0.6351267570044223,-0.038796965618150686,-0.01411356783086183,250.00961518141574,0.04128434737394191
2030,2016-05-28 12:00:00,2016_03179,844611.00753,-1736090.91241,-19.05691,72.3138,44.4980825,27.512115,11.8454775,4.868185,,-0.03947445881121517,-0.027789220628376625,-0.031284686556099846,221.61369615398254,0.04184462206838541
2031,2016-05-29 12:00:00,2016_03179,843634.46531,-1739571.90425,-19.12814,72.28941,46.255404375,28.126675,12.01048,4.9822725,-1.0438588128308572,0.021705670167217694,-0.08456013021611153,-0.05046442846694231,239.17177563886366,0.09847372320909205
2032,2016-05-30 12:00:00,2016_03179,838963.3161,-1746683.06701,-19.34418,72.24996,44.4316,28.030645,11.600155,5.0457025,-1.0438588128308572,-0.17893356974689156,0.015556695039364785,0.03889781200459619,21.798324078042526,0.04189332332595141
2034,2016-05-27 12:00:00,2016_03184,823741.77449,-1383203.83477,-14.22486,75.21772,36.241986875,22.152845,9.01638,5.1433575,,-0.3051134097544402,-0.009578631404282197,-0.00980610599288419,224.32768056594082,0.013708022991036321
2035,2016-05-28 12:00:00,2016_03184,823464.23212,-1384355.22961,-14.25425,75.21001,31.665795,21.2640475,8.3211575,4.9665525,,-0.3051134097544402,-0.020665064032596544,-0.011854977181422876,240.15829585244998,0.023824049937896212
2036,2016-05-29 12:00:00,2016_03184,822453.36272,-1386148.31216,-14.31776,75.2007,31.10094125,20.84455,8.27402,4.8975675,,,-0.13973679364721647,-0.2743272107094816,206.9933834371459,0.3078665133372726
2038,2016-05-28 12:00:00,2016_03199,822160.93223,-975898.99501,-4.88703,78.25993,234.69150625,58.5308275,20.7740425,14.62299,-0.5835391557182786,-0.5162215979284744,0.05115306869681274,-0.08133521661221098,147.83353072905658,0.09608357767306609
2040,2016-05-28 12:00:00,2016_03200,789565.82785,-882854.81246,-3.1926,79.09798,216.09294875,56.583225,17.806545,16.0214725,,-1.0389776616821227,-0.09558971007066755,-0.24290249557558893,201.48118553585942,0.26103450926696126
2042,2016-05-28 12:00:00,2016_03202,774041.60298,-1113210.93301,-10.18821,77.53105,150.422275625,46.3507425,16.0312575,12.42327,0.04005521970772924,0.12703043686776933,-0.011988845789245962,0.010462884587903622,311.11179717693324,0.01591239696771394
2044,2016-05-28 12:00:00,2016_03203,748666.8821,-1114458.41996,-11.10773,77.65235,148.797275625,55.07923,17.8137325,12.432545,-0.02641701806746561,,-0.002640309055168132,0.003051520197301023,319.1322039769712,0.004035220864009665
2046,2016-05-28 12:00:00,2016_03209,662859.40316,-1051952.39032,-12.78403,78.55867,84.75,35.2490375,12.0628825,9.6023,0.6757041196244503,,-0.0314850211471574,-0.2600516810133462,186.90332443955884,0.2619507269592969
