,floe_id,matlab_index,x_pixel,y_pixel,theta_aqua,theta_terra,datetime,satellite,merged_floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,orientation
16674,2013_06570,276,1438.8185532810098,1506.63929120479,,-0.8952372864527173,2013-08-15 13:00:41,terra,2013_06570_fixed,615791.9601367853,-1021587.1267000696,-13.91928,79.02102,24718.0,867.6379999999999,244.91275644372234,144.37024252382835,-49.58052386948641
16675,2013_06570,277,1435.5385349938329,1503.577646918394,,,2013-08-16 12:26:07,aqua,2013_06570_fixed,614952.275455268,-1020803.3457627522,-13.9344,79.03113,25133.0,821.978,245.93408188548113,146.2777946333875,-48.044950361384736
16676,2013_06571,277,1707.8157582058518,419.7036239417793,,,2013-08-16 12:26:07,aqua,2013_06571_fixed,684655.2445975449,-743331.5958807389,-2.35297,80.69065,13466.0,494.21,152.67278771718998,119.76198985593997,64.79607825644925
16677,2013_06572,277,1295.9401377704473,4080.7737459978657,,,2013-08-16 12:26:07,aqua,,579215.0857660812,-1680565.547127097,-25.98324,73.6971,10307.0,886.6419999999999,207.7693110778395,91.72935476339941,16.801986560292878
16678,2013_06573,277,1307.4851577960628,57.70794708884491,,,2013-08-16 12:26:07,aqua,2013_06573_fixed,582170.6108926388,-650660.7026063877,-3.17981,81.953,9601.0,406.966,133.37795419216235,97.71773580435757,78.22816622370851
16679,2013_06574,277,1330.4646678424456,4179.040799529688,,,2013-08-16 12:26:07,aqua,,588053.3654645128,-1705721.9128312436,-25.97819,73.45579,8505.0,908.634,139.05716823162967,117.16212597929332,52.16698238607851
16680,2013_06575,277,1194.5685959271168,998.2730439442659,,,2013-08-16 12:26:07,aqua,2013_06575_fixed,553263.9710541887,-891445.3674013754,-13.17473,80.33678,3732.0,242.05999999999997,86.6945552530081,56.079939270440065,-66.52659069038748
16681,2013_06576,277,1620.457332228666,368.0160176746755,,,2013-08-16 12:26:07,aqua,2013_06576_fixed,662291.4875473853,-730099.5686763603,-2.78805,80.91868,3621.0,264.192,79.02292228821825,63.22665728806639,68.76426654292116
16682,2013_06577,277,1226.763165999384,4941.735756082538,,,2013-08-16 12:26:07,aqua,,561505.7809926891,-1900971.821708773,-28.544,71.84926,3247.0,284.884,84.15087814838027,55.835110148923526,10.738696764331253
16683,2013_06578,277,1504.1510433918515,149.04239814508117,,,2013-08-16 12:26:07,aqua,2013_06578_fixed,632517.0776051608,-674042.3220767842,-1.82037,81.48221,3019.0,217.326,81.30840750251623,48.02555472932254,-65.40824877664119
16684,2013_06579,277,1263.4810126582279,4300.953887884268,,,2013-08-16 12:26:07,aqua,,570905.5497373531,-1736931.663450016,-26.80502,73.23774,2212.0,317.816,75.23619530023593,49.98025671703447,33.39746351934981
16685,2013_06580,277,1857.4012649332396,1230.2909346451158,,,2013-08-16 12:26:07,aqua,2013_06580_fixed,722949.1343197562,-950841.9474207931,-7.75336,79.00601,1423.0,152.37,52.133864597397015,37.48312499087417,51.52163715405261
16686,2013_06581,277,1763.023880597015,569.7664179104478,,,2013-08-16 12:26:07,aqua,2013_06581_fixed,698788.5239296826,-781747.671136718,-3.20711,80.34264,1340.0,141.33,52.409042317336,33.767897267812124,-88.38234657639384
16687,2013_06582,277,1250.599209486166,4153.154150197628,,,2013-08-16 12:26:07,aqua,,567607.8081253052,-1699094.9306022362,-26.52734,73.57204,1265.0,196.71599999999998,71.72992622325226,27.294000880430634,87.9101821636468
16688,2013_06583,277,1274.2939330543934,1237.0533472803347,,,2013-08-16 12:26:07,aqua,2013_06583_fixed,573673.6573587714,-952573.125055409,-13.94214,79.76124,956.0,122.83799999999998,48.46001475568433,26.443506969014408,-38.010050069065834
16689,2013_06584,277,1892.7962760131434,272.40197152245344,,,2013-08-16 12:26:07,aqua,2013_06584_fixed,732010.2571562114,-705622.3728613915,1.05155,80.63434,913.0,118.68599999999999,39.2075677883951,31.914829474521273,-46.81644655085947
16690,2013_06585,277,1898.179203539823,1419.2477876106195,,,2013-08-16 12:26:07,aqua,2013_06585_fixed,733388.2866030415,-999214.901779962,-8.72265,78.59438,904.0,114.03,39.601057508509655,29.9386863309716,38.49956347821275
