,date,floe_id,x_stere,y_stere,longitude,latitude,area,perimeter,major_axis,minor_axis,zeta,zeta_est,u,v,bearing,speed
3070,2009-06-01 12:00:00,2009_04260,660938.38736,-1209916.59902,-16.35364,77.32296,59.881849375,36.160295,15.9483175,5.2783475,0.16920163147189266,0.17101770750232842,-0.07170598842333112,-0.014256376936455557,258.75525056171057,0.07310945943666386
3072,2009-05-31 12:00:00,2009_04262,706769.40555,-891898.86331,-6.60557,79.52306,64.2996575,31.190335,10.342445,8.1884775,0.1579344981089757,0.15340239258667715,-0.005313849038975284,-0.023999162450006873,192.48489576244714,0.024580414762791096
3073,2009-06-01 12:00:00,2009_04262,707697.38061,-893809.14265,-6.62863,79.50408,61.1489725,28.963405,10.355815,7.72404,0.2080418467018048,0.2816490085984845,0.03126789535614773,-0.0016397068158790027,93.00187464505069,0.031310859433190986
3075,2009-05-31 12:00:00,2009_04277,735633.21405,-1077888.26181,-10.68745,77.9956,52.047945,26.7735675,8.9762325,7.7493475,-0.671767930681227,-0.45944157100137895,-0.15439913170686076,-0.10900518281455965,234.77805792893625,0.18900058664530148
3076,2009-06-01 12:00:00,2009_04277,729923.67505,-1093187.23746,-11.26885,77.90896,49.64811625,26.0707525,8.813845,7.514105,-0.36334818046505746,-0.7195259896753151,-0.13458666070797942,-0.09289177968927431,235.38654287792357,0.1635311957223008
3078,2009-05-31 12:00:00,2009_04278,652001.00864,-940640.7627,-10.27241,79.46328,50.27226,28.0381975,10.057385,7.0154875,0.13226233973109475,0.19441189128751238,-0.01412040811289134,-0.008755144336894536,238.19964718433167,0.01661440572619027
3079,2009-06-01 12:00:00,2009_04278,651429.25266,-941957.46741,-10.33344,79.45634,50.344178125,28.371205,10.2463325,7.0250575,0.018244432854542737,0.0004287385478445342,-9.162555628718929e-05,0.0015710536907795774,356.662228838373,0.0015737232736021504
3081,2009-05-31 12:00:00,2009_04279,722241.37186,-1085618.32413,-11.36499,78.0054,48.97688375,28.3839375,11.783675,5.4515525,-0.17431862699915557,-0.15027181460720068,-0.13271512659627618,-0.1192852262597229,228.05058845771185,0.17844402492462139
3082,2009-06-01 12:00:00,2009_04279,718403.1359,-1100550.47792,-11.86481,77.91081,47.6155825,27.8258975,11.44631,5.45915,-0.017758049871172528,-0.002707195130740775,-0.1108518752335225,-0.12241169687255743,222.16291926062246,0.16514466922673382
3084,2009-05-31 12:00:00,2009_04285,635976.37273,-924682.30777,-10.48073,79.66692,47.70119875,26.4334875,10.583005,6.0576075,-0.1274764105919885,-0.15989767409978634,-0.03515805580797895,-0.04416501906380381,218.5219341242269,0.056450312639551574
